type,time,last_add_time,index,added_time,count,mean_0,mean_1,sigma,param_P,param_I,param_D,param_R
manager_state,30731.0,29375.0,,,,,,,,,,
cloud,,,0.0,1.0,1402.0,-0.9656657060590306,0.0,0.932510255858486,0.0,0.0,0.0,0.0345032266832157
cloud,,,1.0,14.0,1313.0,0.024204502925086,0.0,0.0005858579618504,0.0098586209631848,0.0,0.0,0.0001405736867107
cloud,,,2.0,28.0,1311.0,-0.2895763288084765,0.0,0.0838544502061949,0.0069870131100971,0.0,0.0,0.0079638362510308
cloud,,,3.0,49.0,1340.0,-1.325855857849341,0.0,1.7578937557934111,0.0,0.0,0.0,0.0457214570748171
cloud,,,4.0,68.0,1341.0,-1.6856433840327667,0.0,2.8413936181334374,0.0,0.0,0.0,0.0588850653284735
cloud,,,5.0,81.0,1067.0,-2.156591360922876,0.0,4.6508862980071815,0.0,0.0,0.0,0.0584312067534531
cloud,,,6.0,94.0,658.0,-3.3769082361842804,0.0,11.403509235609228,0.0,0.0,0.0,0.0575906326291966
cloud,,,7.0,107.0,409.0,-4.843778902827066,0.0,23.462194059472573,0.0,0.0,0.0,0.0516243869513221
cloud,,,8.0,120.0,261.0,-6.457194685754843,0.0,41.69536320974058,0.0,0.0,0.0,0.0441744772658387
cloud,,,9.0,133.0,256.0,-6.793113310886028,0.0,46.14638845453693,0.0,0.0,0.0,0.0459732215328307
cloud,,,10.0,146.0,205.0,-8.150042420861064,0.0,66.42319146183488,0.0,0.0,0.0,0.0449826993515072
cloud,,,11.0,159.0,133.0,-10.646718186879289,0.0,113.35260815082616,0.0,0.0,0.0,0.038454061567219
cloud,,,12.0,172.0,81.0,-11.494630430355404,0.0,132.12652873045246,0.0,0.0,0.0,0.026459934490081
cloud,,,13.0,185.0,86.0,-11.143654796384268,0.0,124.18104222097811,0.0,0.0,0.0,0.0267993477257095
cloud,,,14.0,259.0,38.0,-11.85303194708521,0.0,140.4943663386226,0.0,0.0,0.0,0.0173588911664721
cloud,,,15.0,282.0,76.0,-10.362433595882177,0.0,107.38003002906758,0.0,0.0,0.0,0.0268469110234032
cloud,,,16.0,297.0,162.0,-7.845546765533305,0.0,61.5526040501701,0.0,0.0,0.0,0.0391656770060945
cloud,,,17.0,314.0,278.0,-6.143458374632269,0.0,37.74208080083936,0.0,0.0,0.0,0.0502134994131877
cloud,,,18.0,327.0,346.0,-5.195978069753352,0.0,26.99818810135777,0.0,0.0,0.0,0.0527420632058703
cloud,,,19.0,340.0,269.0,-7.529591574096233,0.0,56.69474927270098,0.0,0.0,0.0,0.0588759179134717
cloud,,,20.0,365.0,306.0,-5.481624095573838,0.0,30.04820272517569,0.0,0.0,0.0,0.0497542741603117
cloud,,,21.0,381.0,200.0,-8.611779805584266,0.0,74.16275141986898,0.0,0.0,0.0,0.0514261707667627
cloud,,,22.0,394.0,110.0,-9.218679829553304,0.0,84.98405779981293,0.0,0.0,0.0,0.0330079426468601
cloud,,,23.0,417.0,331.0,-5.79567872733873,0.0,33.58989191052668,0.0,0.0,0.0,0.0563156398224066
cloud,,,24.0,452.0,365.0,-4.483935277588455,0.0,20.10567557360225,0.0,0.0,0.0,0.0494149365978438
cloud,,,25.0,465.0,779.0,-2.914779941936254,0.0,8.495942109913912,0.0,0.0,0.0,0.0653847500773856
cloud,,,26.0,485.0,1379.0,-0.6494852088070757,0.0,0.4218310364591707,0.0,0.0,0.0,0.0300577390552632
cloud,,,27.0,567.0,798.0,-2.4678588721692165,0.0,6.090327412944317,0.0,0.0,0.0,0.0574808799591269
cloud,,,28.0,581.0,562.0,-3.7984744193509528,0.0,14.428407914463556,0.0,0.0,0.0,0.0612222843190355
